2021-11-19 19:44:33,811 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-11-19 19:44:33,869 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-11-19 19:44:33,871 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-11-19 19:44:33,872 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-11-19 19:44:33,876 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-11-19 19:44:33,877 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-11-19 19:44:33,878 INFO  SwAddin.cs: 201 - Setting up command manager
2021-11-19 19:44:33,879 INFO  SwAddin.cs: 204 - Adding command manager
2021-11-19 19:44:33,885 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-11-19 19:44:33,887 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-11-19 19:44:33,887 INFO  SwAddin.cs: 210 - Adding event handlers
2021-11-19 19:44:33,972 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-11-19 21:06:09,784 INFO  SwAddin.cs: 294 - Assembly export called for file DB_assembly1
2021-11-19 21:06:09,790 INFO  SwAddin.cs: 305 - A rebuild is required
2021-11-19 21:06:09,791 INFO  SwAddin.cs: 313 - Saving assembly
2021-11-19 21:06:09,883 INFO  SwAddin.cs: 316 - Opening property manager
2021-11-19 21:06:09,912 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from DB_assembly1
2021-11-19 21:06:09,923 INFO  ExportHelperExtension.cs: 1136 - Found 27 in DB_assembly1
2021-11-19 21:06:09,925 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in DB_assembly1
2021-11-19 21:06:09,925 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-19 21:06:09,927 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2021-11-19 21:06:09,928 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from frontWheel_fork-1
2021-11-19 21:06:09,929 INFO  ExportHelperExtension.cs: 1136 - Found 28 in frontWheel_fork-1
2021-11-19 21:06:09,929 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in frontWheel_fork-1
2021-11-19 21:06:09,929 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from model1-1
2021-11-19 21:06:09,930 INFO  ExportHelperExtension.cs: 1136 - Found 70 in model1-1
